"","club","value_eur","Year"
"46824","RSC Anderlecht",1300000,"FIFA 20"
"46825","FC Schalke 04",1300000,"FIFA 20"
"46826","FC Girondins de Bordeaux",1300000,"FIFA 20"
"46827","Livorno",1200000,"FIFA 20"
"46828","Olympique Lyonnais",1300000,"FIFA 20"
"46829","Hertha BSC",1400000,"FIFA 20"
"46830","Dynamo Kyiv",1300000,"FIFA 20"
"46831","Lazio",1200000,"FIFA 20"
"46832","Stade Rennais FC",1400000,"FIFA 20"
"46833","Wolverhampton Wanderers",1400000,"FIFA 20"
"46834","FC Dallas",1300000,"FIFA 20"
"46835","Manchester City",1200000,"FIFA 20"
"46836","PFC CSKA Moscow",1300000,"FIFA 20"
"46837","Club Atlético Colón",1400000,"FIFA 20"
"46838","AS Monaco",1400000,"FIFA 20"
"46839","Real Madrid",1300000,"FIFA 20"
"46840","FC St. Gallen",1400000,"FIFA 20"
"46841","Udinese",1400000,"FIFA 20"
"46842","Wigan Athletic",1400000,"FIFA 20"
"46843","CD Tondela",1400000,"FIFA 20"
"46844","Middlesbrough",1400000,"FIFA 20"
"46845","Rangers FC",1400000,"FIFA 20"
"46846","Sampdoria",1400000,"FIFA 20"
"46847","Vitesse",1400000,"FIFA 20"
"46848","Leeds United",1200000,"FIFA 20"
"46849","BSC Young Boys",1300000,"FIFA 20"
"46850","KSV Cercle Brugge",1200000,"FIFA 20"
"46851","Legia Warszawa",975000,"FIFA 20"
"46852","Chicago Fire",1200000,"FIFA 20"
"46853","Blackpool",1100000,"FIFA 20"
"46854","FC Girondins de Bordeaux",1000000,"FIFA 20"
"46855","Ajax",1200000,"FIFA 20"
"46856","Feyenoord",1100000,"FIFA 20"
"46857","Genoa",1000000,"FIFA 20"
"46858","SD Huesca",1200000,"FIFA 20"
"46859","Brentford",1100000,"FIFA 20"
"46860","Daegu FC",1100000,"FIFA 20"
"46861","Reading",1100000,"FIFA 20"
"46862","FC Utrecht",1200000,"FIFA 20"
"46863","Spezia",1100000,"FIFA 20"
"46864","CD Tondela",1100000,"FIFA 20"
"46865","Rayo Vallecano",1200000,"FIFA 20"
"46866","Preston North End",1000000,"FIFA 20"
"46867","Unión de Santa Fe",1100000,"FIFA 20"
"46868","FC St. Gallen",1100000,"FIFA 20"
"46869","KRC Genk",1000000,"FIFA 20"
"46870","Blackburn Rovers",1000000,"FIFA 20"
"46871","Real Oviedo",1100000,"FIFA 20"
"46872","Crotone",1100000,"FIFA 20"
"46873","Manchester United",1000000,"FIFA 20"
"46874","Paris Saint-Germain",975000,"FIFA 20"
"46875","Club León",1100000,"FIFA 20"
"46876","Vélez Sarsfield",1000000,"FIFA 20"
"46877","Arsenal de Sarandí",1100000,"FIFA 20"
"46878","Deportivo de La Coruña",1000000,"FIFA 20"
"46879","Viking FK",1000000,"FIFA 20"
"46880","FC Nordsjælland",950000,"FIFA 20"
"46881","Lincoln City",1000000,"FIFA 20"
"46882","SC Heerenveen",975000,"FIFA 20"
"46883","CD Aves",950000,"FIFA 20"
"46884","Universidad Católica",1000000,"FIFA 20"
"46885","Jaguares de Córdoba",950000,"FIFA 20"
"46886","Cittadella",1000000,"FIFA 20"
"46887","Eintracht Braunschweig",950000,"FIFA 20"
"46888","CD Mirandés",825000,"FIFA 20"
"46889","Alianza Petrolera",925000,"FIFA 20"
"46890","Os Belenenses",950000,"FIFA 20"
"46891","Le Mans FC",1000000,"FIFA 20"
"46892","FC Ingolstadt 04",950000,"FIFA 20"
"46893","FC Lorient",950000,"FIFA 20"
"46894","Hull City",975000,"FIFA 20"
"46895","Sepsi OSK",825000,"FIFA 20"
"46896","Club América",950000,"FIFA 20"
"46897","FC Ingolstadt 04",1000000,"FIFA 20"
"46898","PEC Zwolle",1000000,"FIFA 20"
"46899","Yeni Malatyaspor",950000,"FIFA 20"
"46900","FC Ingolstadt 04",975000,"FIFA 20"
"46901","Bolton Wanderers",950000,"FIFA 20"
"46902","CD Huachipato",1000000,"FIFA 20"
"46903","Newell's Old Boys",950000,"FIFA 20"
"46904","Sparta Rotterdam",1000000,"FIFA 20"
"46905","New York City FC",1000000,"FIFA 20"
"46906","Junior FC",1000000,"FIFA 20"
"46907","Getafe CF",1000000,"FIFA 20"
"46908","Roma",825000,"FIFA 20"
"46909","Sanfrecce Hiroshima",800000,"FIFA 20"
"46910","SønderjyskE",1000000,"FIFA 20"
"46911","Real Madrid",1000000,"FIFA 20"
"46912","Club Atlético Colón",950000,"FIFA 20"
"46913","Vitória Guimarães",950000,"FIFA 20"
"46914","SC Paderborn 07",925000,"FIFA 20"
"46915","Derby County",1000000,"FIFA 20"
"46916","Central Coast Mariners",1000000,"FIFA 20"
"46917","Coquimbo Unido",975000,"FIFA 20"
"46918","Stade Brestois 29",900000,"FIFA 20"
"46919","Central Córdoba",1000000,"FIFA 20"
"46920","Shrewsbury",1000000,"FIFA 20"
"46921","Os Belenenses",775000,"FIFA 20"
"46922","HJK Helsinki",925000,"FIFA 20"
"46923","Millonarios FC",900000,"FIFA 20"
"46924","Colchester United",900000,"FIFA 20"
"46925","Sunderland",975000,"FIFA 20"
"46926","US Salernitana 1919",975000,"FIFA 20"
"46927","Inter",900000,"FIFA 20"
"46928","Club Atlas",900000,"FIFA 20"
"46929","Aalborg BK",975000,"FIFA 20"
"46930","Royal Antwerp FC",775000,"FIFA 20"
"46931","Antalyaspor",925000,"FIFA 20"
"46932","FC Luzern",925000,"FIFA 20"
"46933","Extremadura UD",1000000,"FIFA 20"
"46934","FC Sochaux-Montbéliard",1000000,"FIFA 20"
"46935","Deportivo Cali",925000,"FIFA 20"
"46936","Club Necaxa",1000000,"FIFA 20"
"46937","Willem II",1000000,"FIFA 20"
"46938","Hannover 96",900000,"FIFA 20"
"46939","Astra Giurgiu",1000000,"FIFA 20"
"46940","CF Fuenlabrada",1000000,"FIFA 20"
"46941","Sparta Rotterdam",975000,"FIFA 20"
"46942","Málaga CF",900000,"FIFA 20"
"46943","Standard de Liège",775000,"FIFA 20"
"46944","FC Sion",900000,"FIFA 20"
"46945","Olympiacos CFP",900000,"FIFA 20"
"46946","Real Oviedo",975000,"FIFA 20"
"46947","Montpellier HSC",900000,"FIFA 20"
"46948","Amiens SC",1000000,"FIFA 20"
"46949","FC Juárez",975000,"FIFA 20"
"46950","AS Saint-Étienne",900000,"FIFA 20"
"46951","Villarreal CF",925000,"FIFA 20"
"46952","Wisła Kraków",975000,"FIFA 20"
"46953","Newell's Old Boys",1000000,"FIFA 20"
"46954","RSC Anderlecht",925000,"FIFA 20"
"46955","Virtus Entella",925000,"FIFA 20"
"46956","Empoli",1000000,"FIFA 20"
"46957","FC Red Bull Salzburg",975000,"FIFA 20"
"46958","Unión La Calera",1000000,"FIFA 20"
"46959","US Cremonese",900000,"FIFA 20"
"46960","Godoy Cruz",1000000,"FIFA 20"
"46961","FC Viitorul",1000000,"FIFA 20"
"46962","Juventus",1000000,"FIFA 20"
"46963","Rotherham United",950000,"FIFA 20"
"46964","Sheffield Wednesday",725000,"FIFA 20"
"46965","FK Austria Wien",850000,"FIFA 20"
"46966","Bristol City",950000,"FIFA 20"
"46967","Odds BK",950000,"FIFA 20"
"46968","CD Antofagasta",950000,"FIFA 20"
"46969","Liverpool",925000,"FIFA 20"
"46970","Malmö FF",875000,"FIFA 20"
"46971","Extremadura UD",925000,"FIFA 20"
"46972","Charlton Athletic",850000,"FIFA 20"
"46973","UD Almería",950000,"FIFA 20"
"46974","Pisa",725000,"FIFA 20"
"46975","AS Monaco",725000,"FIFA 20"
"46976","Panathinaikos FC",850000,"FIFA 20"
"46977","Holstein Kiel",725000,"FIFA 20"
"46978","1. FC Union Berlin",850000,"FIFA 20"
"46979","Ipswich Town",850000,"FIFA 20"
"46980","Albacete BP",875000,"FIFA 20"
"46981","Brisbane Roar",950000,"FIFA 20"
"46982","Monterrey",725000,"FIFA 20"
"46983","VfL Bochum 1848",950000,"FIFA 20"
"46984","Le Havre AC",850000,"FIFA 20"
"46985","CD Tondela",850000,"FIFA 20"
"46986","Atlético Nacional",950000,"FIFA 20"
"46987","FC Seoul",975000,"FIFA 20"
"46988","AC Ajaccio",950000,"FIFA 20"
"46989","SC Freiburg",875000,"FIFA 20"
"46990","Astra Giurgiu",950000,"FIFA 20"
"46991","Tigres U.A.N.L.",875000,"FIFA 20"
"46992","Racing Club",725000,"FIFA 20"
"46993","Suwon Samsung Bluewings",975000,"FIFA 20"
"46994","Shrewsbury",875000,"FIFA 20"
"46995","Chamois Niortais Football Club",950000,"FIFA 20"
"46996","Waasland-Beveren",950000,"FIFA 20"
"46997","1. FC Kaiserslautern",875000,"FIFA 20"
"46998","1. FC Nürnberg",850000,"FIFA 20"
"46999","Monarcas Morelia",850000,"FIFA 20"
"47000","Portimonense SC",950000,"FIFA 20"
"47001","Godoy Cruz",950000,"FIFA 20"
"47002","VfL Bochum 1848",850000,"FIFA 20"
"47003","Deportivo Toluca",875000,"FIFA 20"
"47004","Cittadella",925000,"FIFA 20"
"47005","Deportivo de La Coruña",725000,"FIFA 20"
"47006","FC Viitorul",875000,"FIFA 20"
"47007","Gil Vicente FC",925000,"FIFA 20"
"47008","Clube Sport Marítimo",850000,"FIFA 20"
"47009","Al Adalah",875000,"FIFA 20"
"47010","Shrewsbury",900000,"FIFA 20"
"47011","Legia Warszawa",800000,"FIFA 20"
"47012","Brøndby IF",800000,"FIFA 20"
"47013","Atlanta United",900000,"FIFA 20"
"47014","Aarhus GF",675000,"FIFA 20"
"47015","AIK",800000,"FIFA 20"
"47016","Astra Giurgiu",675000,"FIFA 20"
"47017","Crystal Palace",800000,"FIFA 20"
"47018","1. FC Magdeburg",675000,"FIFA 20"
"47019","Kasimpaşa SK",800000,"FIFA 20"
"47020","1. FC Heidenheim 1846",900000,"FIFA 20"
"47021","Göztepe SK",800000,"FIFA 20"
"47022","Levante UD",900000,"FIFA 20"
"47023","La Equidad",825000,"FIFA 20"
"47024","Mansfield Town",925000,"FIFA 20"
"47025","CD Aves",925000,"FIFA 20"
"47026","Fortuna Sittard",900000,"FIFA 20"
"47027","Incheon United FC",900000,"FIFA 20"
"47028","Gangwon FC",900000,"FIFA 20"
"47029","VfL Osnabrück",825000,"FIFA 20"
"47030","Eintracht Braunschweig",800000,"FIFA 20"
"47031","Barnsley",900000,"FIFA 20"
"47032","Nîmes Olympique",900000,"FIFA 20"
"47033","Chamois Niortais Football Club",825000,"FIFA 20"
"47034","Atalanta",800000,"FIFA 20"
"47035","Wisła Kraków",900000,"FIFA 20"
"47036","Los Angeles FC",675000,"FIFA 20"
"47037","Dynamo Kyiv",825000,"FIFA 20"
"47038","Deportivo Toluca",800000,"FIFA 20"
"47039","Shimizu S-Pulse",800000,"FIFA 20"
"47040","Deportivo Alavés",825000,"FIFA 20"
"47041","Independiente Medellín",900000,"FIFA 20"
"47042","Os Belenenses",900000,"FIFA 20"
"47043","Gil Vicente FC",825000,"FIFA 20"
"47044","SK Sturm Graz",925000,"FIFA 20"
"47045","AC Ajaccio",900000,"FIFA 20"
"47046","KRC Genk",800000,"FIFA 20"
"47047","Al Nassr",925000,"FIFA 20"
"47048","New York Red Bulls",925000,"FIFA 20"
"47049","KV Oostende",925000,"FIFA 20"
"47050","Dijon FCO",825000,"FIFA 20"
"47051","Holstein Kiel",800000,"FIFA 20"
"47052","Livingston FC",825000,"FIFA 20"
"47053","Granada CF",800000,"FIFA 20"
"47054","Arsenal de Sarandí",925000,"FIFA 20"
"47055","CD Tondela",925000,"FIFA 20"
"47056","Huddersfield Town",800000,"FIFA 20"
"47057","Vélez Sarsfield",825000,"FIFA 20"
"47058","St. Johnstone FC",875000,"FIFA 20"
"47059","Vålerenga Fotball",875000,"FIFA 20"
"47060","Doncaster Rovers",875000,"FIFA 20"
"47061","Blackpool",875000,"FIFA 20"
"47062","RKC Waalwijk",875000,"FIFA 20"
"47063","FC Carl Zeiss Jena",875000,"FIFA 20"
"47064","Coventry City",875000,"FIFA 20"
"47065","Arsenal",675000,"FIFA 20"
"47066","Brøndby IF",900000,"FIFA 20"
"47067","Southampton",775000,"FIFA 20"
"47068","Viktoria Köln",675000,"FIFA 20"
"47069","Heracles Almelo",800000,"FIFA 20"
"47070","Club Tijuana",875000,"FIFA 20"
"47071","Sarpsborg 08 FF",800000,"FIFA 20"
"47072","Fortuna Sittard",875000,"FIFA 20"
"47073","FC Würzburger Kickers",800000,"FIFA 20"
"47074","Portland Timbers",800000,"FIFA 20"
"47075"," SSV Jahn Regensburg",875000,"FIFA 20"
"47076","Alianza Petrolera",875000,"FIFA 20"
"47077","Arsenal de Sarandí",675000,"FIFA 20"
"47078","FC Tokyo",775000,"FIFA 20"
"47079","FC Voluntari",875000,"FIFA 20"
"47080","SPAL",875000,"FIFA 20"
"47081","FK Haugesund",875000,"FIFA 20"
"47082","Real Oviedo",775000,"FIFA 20"
"47083","Pohang Steelers",800000,"FIFA 20"
"47084","FSV Zwickau",875000,"FIFA 20"
"47085","Waasland-Beveren",775000,"FIFA 20"
"47086","SpVgg Unterhaching",875000,"FIFA 20"
"47087","SC Heerenveen",875000,"FIFA 20"
"47088","Rodez Aveyron Football",800000,"FIFA 20"
"47089","Santa Clara",675000,"FIFA 20"
"47090","Sint-Truidense VV",800000,"FIFA 20"
"47091","Rangers FC",875000,"FIFA 20"
"47092","Famalicão",675000,"FIFA 20"
"47093","UD Almería",900000,"FIFA 20"
"47094","Milton Keynes Dons",625000,"FIFA 20"
"47095","FC Lugano",750000,"FIFA 20"
"47096","Cardiff City",750000,"FIFA 20"
"47097","HJK Helsinki",875000,"FIFA 20"
"47098","Peterborough United",750000,"FIFA 20"
"47099","FC St. Gallen",625000,"FIFA 20"
"47100","Oxford United",775000,"FIFA 20"
"47101","Blackburn Rovers",875000,"FIFA 20"
"47102","Henan Jianye FC",850000,"FIFA 20"
"47103","PAOK",625000,"FIFA 20"
"47104","Juventus",775000,"FIFA 20"
"47105","Bradford City",850000,"FIFA 20"
"47106","SpVgg Unterhaching",850000,"FIFA 20"
"47107","Wycombe Wanderers",850000,"FIFA 20"
"47108","Al Taawoun",750000,"FIFA 20"
"47109","Aalborg BK",750000,"FIFA 20"
"47110","CD Universidad de Concepción",625000,"FIFA 20"
"47111","Unión Española",750000,"FIFA 20"
"47112","Udinese",850000,"FIFA 20"
"47113","Östersunds FK",875000,"FIFA 20"
"47114","Aston Villa",850000,"FIFA 20"
"47115","IF Elfsborg",775000,"FIFA 20"
"47116","Gençlerbirliği SK",775000,"FIFA 20"
"47117","CD Tenerife",625000,"FIFA 20"
"47118","Houston Dynamo",750000,"FIFA 20"
"47119","Argentinos Juniors",750000,"FIFA 20"
"47120","Millonarios FC",850000,"FIFA 20"
"47121","FC Viitorul",750000,"FIFA 20"
"47122","Club Atlético Banfield",875000,"FIFA 20"
"47123","Sporting de Charleroi",775000,"FIFA 20"
"47124","SpVgg Greuther Fürth",850000,"FIFA 20"
"47125","Stade de Reims",850000,"FIFA 20"
"47126","Venezia FC",875000,"FIFA 20"
"47127","Wisła Płock",875000,"FIFA 20"
"47128","Jiangsu Suning FC",775000,"FIFA 20"
"47129","SV Meppen",875000,"FIFA 20"
"47130","Karlsruher SC",850000,"FIFA 20"
"47131","Brescia",650000,"FIFA 20"
"47132","Rionegro Águilas",850000,"FIFA 20"
"47133","Patriotas Boyacá FC",750000,"FIFA 20"
"47134","CD Lugo",625000,"FIFA 20"
"47135","FC Nantes",650000,"FIFA 20"
"47136","Kashima Antlers",750000,"FIFA 20"
"47137","Stade Malherbe Caen",775000,"FIFA 20"
"47138","AS Nancy Lorraine",850000,"FIFA 20"
"47139","Cúcuta Deportivo",625000,"FIFA 20"
"47140","Hallescher FC",875000,"FIFA 20"
"47141","Chamois Niortais Football Club",775000,"FIFA 20"
"47142","SCR Altach",850000,"FIFA 20"
"47143","RC Celta",850000,"FIFA 20"
"47144","Orlando City SC",850000,"FIFA 20"
"47145","Vitória Guimarães",775000,"FIFA 20"
"47146","FC Voluntari",850000,"FIFA 20"
"47147","CD Tondela",750000,"FIFA 20"
"47148","Shamrock Rovers",825000,"FIFA 20"
"47149","Ipswich Town",575000,"FIFA 20"
"47150","Hibernian",750000,"FIFA 20"
"47151","FC Zürich",600000,"FIFA 20"
"47152","KSV Cercle Brugge",625000,"FIFA 20"
"47153","Luton Town",600000,"FIFA 20"
"47154","Perth Glory",750000,"FIFA 20"
"47155","FK Austria Wien",725000,"FIFA 20"
"47156","Preston North End",725000,"FIFA 20"
"47157","Wolfsberger AC",850000,"FIFA 20"
"47158","VfL Bochum 1848",600000,"FIFA 20"
"47159","Stabæk Fotball",850000,"FIFA 20"
"47160","ADO Den Haag",750000,"FIFA 20"
"47161","Gangwon FC",625000,"FIFA 20"
"47162","Blackburn Rovers",850000,"FIFA 20"
"47163","Atlético Bucaramanga",725000,"FIFA 20"
"47164","SpVgg Unterhaching",725000,"FIFA 20"
"47165","Tranmere Rovers",750000,"FIFA 20"
"47166","AZ Alkmaar",850000,"FIFA 20"
"47167","Deportivo Pasto",750000,"FIFA 20"
"47168","Nîmes Olympique",725000,"FIFA 20"
"47169","Fulham",750000,"FIFA 20"
"47170","SV Darmstadt 98",825000,"FIFA 20"
"47171","Sangju Sangmu FC",825000,"FIFA 20"
"47172","Gyeongnam FC",575000,"FIFA 20"
"47173","Tianjin Quanjian FC",750000,"FIFA 20"
"47174","ADO Den Haag",850000,"FIFA 20"
"47175","Cracovia",725000,"FIFA 20"
"47176","OGC Nice",750000,"FIFA 20"
"47177","Sangju Sangmu FC",725000,"FIFA 20"
"47178","BK Häcken",750000,"FIFA 20"
"47179","Empoli",575000,"FIFA 20"
"47180","Celtic",750000,"FIFA 20"
"47181","FC Emmen",850000,"FIFA 20"
"47182","Cúcuta Deportivo",575000,"FIFA 20"
"47183","Universidad Católica",750000,"FIFA 20"
"47184","FC Midtjylland",750000,"FIFA 20"
"47185","Famalicão",750000,"FIFA 20"
"47186","Livorno",750000,"FIFA 20"
"47187","Kawasaki Frontale",750000,"FIFA 20"
"47188","Atlético Bucaramanga",575000,"FIFA 20"
"47189","Urawa Red Diamonds",850000,"FIFA 20"
"47190","Racing Club de Lens",725000,"FIFA 20"
"47191","Astra Giurgiu",750000,"FIFA 20"
"47192","Hokkaido Consadole Sapporo",750000,"FIFA 20"
"47193","Club Atlético Colón",725000,"FIFA 20"
"47194","Kawasaki Frontale",825000,"FIFA 20"
"47195","FC Ingolstadt 04",725000,"FIFA 20"
"47196","SKN St. Pölten",850000,"FIFA 20"
"47197","SD Ponferradina",750000,"FIFA 20"
"47198","KV Kortrijk",725000,"FIFA 20"
"47199","SG Dynamo Dresden",600000,"FIFA 20"
"47200","SG Dynamo Dresden",850000,"FIFA 20"
"47201","FC Groningen",750000,"FIFA 20"
"47202","Málaga CF",750000,"FIFA 20"
"47203","SK Rapid Wien",750000,"FIFA 20"
"47204","Al Ain FC",850000,"FIFA 20"
"47205","Le Mans FC",825000,"FIFA 20"
"47206","SD Ponferradina",725000,"FIFA 20"
"47207","FC Paços de Ferreira",625000,"FIFA 20"
"47208","Milton Keynes Dons",700000,"FIFA 20"
"47209","Rosenborg BK",575000,"FIFA 20"
"47210","Ranheim Fotball",575000,"FIFA 20"
"47211","Aarhus GF",775000,"FIFA 20"
"47212","Karlsruher SC",825000,"FIFA 20"
"47213","CD Lugo",700000,"FIFA 20"
"47214","Molde FK",700000,"FIFA 20"
"47215","Sarpsborg 08 FF",725000,"FIFA 20"
"47216","Peterborough United",775000,"FIFA 20"
"47217","Suwon Samsung Bluewings",725000,"FIFA 20"
"47218","Sheffield United",800000,"FIFA 20"
"47219","Arka Gdynia",825000,"FIFA 20"
"47220","Puebla FC",800000,"FIFA 20"
"47221","Oxford United",800000,"FIFA 20"
"47222","Cardiff City",825000,"FIFA 20"
"47223","Wycombe Wanderers",800000,"FIFA 20"
"47224","FC Emmen",725000,"FIFA 20"
"47225","FC Sochaux-Montbéliard",825000,"FIFA 20"
"47226","Stade Brestois 29",825000,"FIFA 20"
"47227","Chamois Niortais Football Club",700000,"FIFA 20"
"47228","Wisła Płock",725000,"FIFA 20"
"47229","Mansfield Town",700000,"FIFA 20"
"47230","DSC Arminia Bielefeld",800000,"FIFA 20"
"47231","Randers FC",800000,"FIFA 20"
"47232","KV Mechelen",725000,"FIFA 20"
"47233","SC Heerenveen",700000,"FIFA 20"
"47234","Rodez Aveyron Football",725000,"FIFA 20"
"47235","Vitória Guimarães",600000,"FIFA 20"
"47236","Jaguares de Córdoba",800000,"FIFA 20"
"47237","Independiente Santa Fe",700000,"FIFA 20"
"47238","Deportivo Pasto",725000,"FIFA 20"
"47239","Cúcuta Deportivo",700000,"FIFA 20"
"47240","MSV Duisburg",725000,"FIFA 20"
"47241","SK Rapid Wien",725000,"FIFA 20"
"47242","Adelaide United",725000,"FIFA 20"
"47243","FC Twente",600000,"FIFA 20"
"47244","Sangju Sangmu FC",775000,"FIFA 20"
"47245","Gyeongnam FC",700000,"FIFA 20"
"47246","Deportivo Pasto",825000,"FIFA 20"
"47247","Suwon Samsung Bluewings",575000,"FIFA 20"
"47248","Stabæk Fotball",700000,"FIFA 20"
"47249","Ipswich Town",600000,"FIFA 20"
"47250","SV Meppen",700000,"FIFA 20"
"47251","1. FC Kaiserslautern",750000,"FIFA 20"
"47252","FC Voluntari",700000,"FIFA 20"
"47253","Querétaro",575000,"FIFA 20"
"47254","Hull City",800000,"FIFA 20"
"47255","Hellas Verona",725000,"FIFA 20"
"47256","Medipol Başakşehir FK",800000,"FIFA 20"
"47257","Al Nassr",700000,"FIFA 20"
"47258","Newcastle Jets",750000,"FIFA 20"
"47259","Yokohama F. Marinos",700000,"FIFA 20"
"47260","Matsumoto Yamaga",725000,"FIFA 20"
"47261","Sangju Sangmu FC",800000,"FIFA 20"
"47262","Defensa y Justicia",800000,"FIFA 20"
"47263","Silkeborg IF",700000,"FIFA 20"
"47264","Patriotas Boyacá FC",575000,"FIFA 20"
"47265","Korona Kielce",700000,"FIFA 20"
"47266","KV Oostende",825000,"FIFA 20"
"47267","VVV-Venlo",725000,"FIFA 20"
"47268","Zagłębie Lubin",700000,"FIFA 20"
"47269","Arsenal de Sarandí",825000,"FIFA 20"
"47270","Portland Timbers",725000,"FIFA 20"
"47271","FC Luzern",725000,"FIFA 20"
"47272","San Jose Earthquakes",750000,"FIFA 20"
"47273","DC United",700000,"FIFA 20"
"47274","SD Ponferradina",575000,"FIFA 20"
"47275","Grenoble Foot 38",700000,"FIFA 20"
"47276","Santa Clara",825000,"FIFA 20"
"47277","Argentinos Juniors",800000,"FIFA 20"
"47278","Paris FC",825000,"FIFA 20"
"47279","Dinamo Bucureşti",700000,"FIFA 20"
"47280","Club Atlético Colón",825000,"FIFA 20"
"47281","CD Aves",725000,"FIFA 20"
"47282","AD Alcorcón",825000,"FIFA 20"
"47283","Stabæk Fotball",550000,"FIFA 20"
"47284","Grenoble Foot 38",550000,"FIFA 20"
"47285","Dundalk",650000,"FIFA 20"
"47286","Gillingham",675000,"FIFA 20"
"47287","Vegalta Sendai",550000,"FIFA 20"
"47288","Stoke City",700000,"FIFA 20"
"47289","Heracles Almelo",775000,"FIFA 20"
"47290","Suwon Samsung Bluewings",675000,"FIFA 20"
"47291","Plymouth Argyle",675000,"FIFA 20"
"47292","SKN St. Pölten",800000,"FIFA 20"
"47293","Lillestrøm SK",700000,"FIFA 20"
"47294","Chemnitzer FC",675000,"FIFA 20"
"47295","FC Twente",800000,"FIFA 20"
"47296","Rotherham United",800000,"FIFA 20"
"47297","DC United",675000,"FIFA 20"
"47298","Al Nassr",800000,"FIFA 20"
"47299","Boavista FC",800000,"FIFA 20"
"47300","Melbourne Victory",700000,"FIFA 20"
"47301","SC Preußen Münster",700000,"FIFA 20"
"47302","Legia Warszawa",675000,"FIFA 20"
"47303","Atlético Bucaramanga",550000,"FIFA 20"
"47304","U.N.A.M.",700000,"FIFA 20"
"47305","FC Twente",700000,"FIFA 20"
"47306","RKC Waalwijk",700000,"FIFA 20"
"47307","Randers FC",550000,"FIFA 20"
"47308","Spezia",775000,"FIFA 20"
"47309","Unión Magdalena",550000,"FIFA 20"
"47310","Arka Gdynia",675000,"FIFA 20"
"47311","FC Seoul",700000,"FIFA 20"
"47312","LASK Linz",700000,"FIFA 20"
"47313","LASK Linz",775000,"FIFA 20"
"47314","Wisła Płock",775000,"FIFA 20"
"47315","Hibernian",800000,"FIFA 20"
"47316","Houston Dynamo",800000,"FIFA 20"
"47317","Barnsley",700000,"FIFA 20"
"47318","Cardiff City",800000,"FIFA 20"
"47319","Yokohama F. Marinos",675000,"FIFA 20"
"47320","SK Brann",675000,"FIFA 20"
"47321","CD Mirandés",675000,"FIFA 20"
"47322","Mjøndalen IF",650000,"FIFA 20"
"47323","Abha Club",550000,"FIFA 20"
"47324","FC Paços de Ferreira",775000,"FIFA 20"
"47325","Abha Club",675000,"FIFA 20"
"47326","US Cremonese",500000,"FIFA 20"
"47327","Pogoń Szczecin",750000,"FIFA 20"
"47328","Sporting de Charleroi",525000,"FIFA 20"
"47329","Motherwell",725000,"FIFA 20"
"47330","Southend United",725000,"FIFA 20"
"47331","AC Horsens",750000,"FIFA 20"
"47332","Colchester United",650000,"FIFA 20"
"47333","Dundalk",725000,"FIFA 20"
"47334","Zagłębie Lubin",650000,"FIFA 20"
"47335","Milan",550000,"FIFA 20"
"47336","FC Chambly Oise",775000,"FIFA 20"
"47337","Aberdeen",775000,"FIFA 20"
"47338","Pisa",650000,"FIFA 20"
"47339","Pohang Steelers",550000,"FIFA 20"
"47340","Servette FC",775000,"FIFA 20"
"47341","Royal Excel Mouscron",650000,"FIFA 20"
"47342","FC Emmen",675000,"FIFA 20"
"47343","KSV Cercle Brugge",750000,"FIFA 20"
"47344","Östersunds FK",750000,"FIFA 20"
"47345","Viking FK",750000,"FIFA 20"
"47346","AS Nancy Lorraine",550000,"FIFA 20"
"47347","Karlsruher SC",650000,"FIFA 20"
"47348","Virtus Entella",750000,"FIFA 20"
"47349","La Berrichonne de Châteauroux",750000,"FIFA 20"
"47350","Pogoń Szczecin",650000,"FIFA 20"
"47351","Portsmouth",650000,"FIFA 20"
"47352","CD Aves",525000,"FIFA 20"
"47353","Kalmar FF",600000,"FIFA 20"
"47354","IFK Norrköping",725000,"FIFA 20"
"47355","IF Elfsborg",750000,"FIFA 20"
"47356","Puebla FC",750000,"FIFA 20"
"47357","Club Atlético Aldosivi",650000,"FIFA 20"
"47358","Hallescher FC",675000,"FIFA 20"
"47359","TSV 1860 München",650000,"FIFA 20"
"47360","SK Sturm Graz",650000,"FIFA 20"
"47361","Jeonbuk Hyundai Motors",650000,"FIFA 20"
"47362","Abha Club",650000,"FIFA 20"
"47363","Unión de Santa Fe",650000,"FIFA 20"
"47364","Fortuna Sittard",650000,"FIFA 20"
"47365","CD Palestino",750000,"FIFA 20"
"47366","Le Havre AC",775000,"FIFA 20"
"47367","Orlando City SC",750000,"FIFA 20"
"47368","Deportivo Pasto",650000,"FIFA 20"
"47369","FC Emmen",650000,"FIFA 20"
"47370","Alianza Petrolera",725000,"FIFA 20"
"47371","Luton Town",750000,"FIFA 20"
"47372","Newell's Old Boys",650000,"FIFA 20"
"47373","Górnik Zabrze",650000,"FIFA 20"
"47374","TSV Hartberg",525000,"FIFA 20"
"47375","Gil Vicente FC",675000,"FIFA 20"
"47376","Nagoya Grampus",775000,"FIFA 20"
"47377","Sagan Tosu",725000,"FIFA 20"
"47378","Vålerenga Fotball",750000,"FIFA 20"
"47379","Unión La Calera",750000,"FIFA 20"
"47380","Deportes Iquique",550000,"FIFA 20"
"47381","Pordenone",750000,"FIFA 20"
"47382","FC Hansa Rostock",750000,"FIFA 20"
"47383","Orlando Pirates",650000,"FIFA 20"
